avg_global_supply_usd,avg_supply_on_chain_usd,blockchain,chain_supply_share_pct,currency,fee_per_supply_dollar,gas_fees_native,gas_fees_usd,token_symbol,transfer_count,transfer_volume_usd,unique_receivers,unique_senders,velocity,week
1442334.857142857,517351,avalanche_c,35.868993766456455,EUR,1.4667033766398664e-08,0.000850257673955711,0.007588004586080115,VEUR,30,2.5245517698144724,2,2,4.8797659032542165e-06,2026-03-30
1442334.857142857,103502.42857142857,base,7.176033225492316,EUR,2.0286717782483456e-05,0.001018452921268446,2.0997245582302235,VEUR,287,57283.55849210114,34,35,0.5534513468209966,2026-03-30
1442334.857142857,39197.71428571428,ethereum,2.7176570053476783,EUR,5.323575476455494e-05,0.001006691626852303,2.0867199050453773,VEUR,15,64939.20839942677,9,8,1.6567090602804369,2026-03-30
21773121.85714286,50069,arbitrum,0.2299578366782274,SGD,1.433004617781054e-06,3.4931700795999994e-05,0.07174910820767959,XSGD,15,3123.673625100175,7,8,0.06238737792047324,2026-03-30
21773121.85714286,2109397,avalanche_c,9.68807786885184,SGD,1.9150795806328896e-06,0.4519931764471039,4.0396631221482755,XSGD,7363,1139341.0193377621,116,108,0.540126405478799,2026-03-30
21773121.85714286,16024391.857142856,ethereum,73.59712567762035,SGD,8.259716859262614e-06,0.0637252573915914,132.3569395818734,XSGD,478,5239466.182826664,113,101,0.32696817636116265,2026-03-30
21773121.85714286,2276508,polygon,10.455588385241926,SGD,6.9640226517319845e-06,172.2333522975436,15.853653278849077,XSGD,3472,9718773.57552977,469,446,4.2691585426142895,2026-03-30
29881994.85714286,26934,arbitrum,0.09013454466063472,CHF,7.704795794747537e-07,1.0096505756e-05,0.020752096993573017,ZCHF,4,2437.0391872916075,4,3,0.09048188859031735,2026-03-30
29881994.85714286,1275269.857142857,base,4.26768648893607,CHF,2.842880635409394e-06,0.001750171626079256,3.6254399817927325,ZCHF,1130,34219722.409049466,138,105,26.833318624589854,2026-03-30
29881994.85714286,27117444.285714287,ethereum,90.7484403747304,CHF,1.9866389632565428e-05,0.26025816269842567,538.7257140193849,ZCHF,2019,53054231.66453962,319,286,1.9564613503230857,2026-03-30
